filename,domain,config_1,config_2,config_3,config_4,config_5,config_6,config_7,config_8,config_9,config_10,config_11,config_12,best_config
doc_26.txt,HR_Policies,0.8,0.8,0.8,0.8,0.8,0.7,0.8,0.7,0.1,0.8,0.1,0.9,config_12
doc_27.txt,HR_Policies,0.8,0.7,0.8,0.8,1.0,0.7,0.7,0.8,0.5,0.7,0.4,0.8,config_5
doc_28.txt,HR_Policies,0.2,0.7,0.2,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,config_5
doc_29.txt,HR_Policies,0.8,0.7,0.8,0.8,0.8,0.5,0.6,0.8,0.0,0.7,0.0,0.9,config_12
doc_30.txt,HR_Policies,0.3,0.3,0.3,0.3,0.0,0.3,0.2,0.3,0.2,0.3,0.2,0.3,config_1
doc_01.txt,Legal_Documents,0.7,0.4,0.5,0.6,0.7,0.5,0.6,0.7,0.0,0.5,0.0,0.7,config_1
doc_02.txt,Legal_Documents,0.6,0.6,0.7,0.7,0.5,0.7,0.5,0.7,0.8,0.8,0.8,0.8,config_9
doc_03.txt,Legal_Documents,0.9,1.0,1.0,1.0,0.6,0.9,0.9,0.8,1.0,1.0,1.0,1.0,config_2
doc_04.txt,Legal_Documents,0.3,0.2,0.2,0.2,0.1,0.3,0.2,0.3,0.4,0.4,0.4,0.4,config_9
doc_05.txt,Legal_Documents,0.9,0.7,0.9,0.7,0.9,0.6,0.8,0.8,0.0,0.9,0.0,0.9,config_1
doc_06.txt,Legal_Documents,0.5,0.5,0.6,0.7,0.1,0.5,0.1,0.7,0.7,0.7,0.7,0.7,config_4
doc_07.txt,Legal_Documents,1.0,0.7,1.0,0.9,0.7,0.9,0.9,0.9,1.0,1.0,1.0,1.0,config_1
doc_08.txt,Legal_Documents,0.7,0.6,0.6,0.7,0.7,0.5,0.8,0.5,1.0,1.0,1.0,1.0,config_9
doc_09.txt,Legal_Documents,0.6363636363636364,0.36363636363636365,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.5454545454545454,0.7272727272727273,0.45454545454545453,0.45454545454545453,0.6363636363636364,config_9
doc_10.txt,Legal_Documents,0.3,0.3,0.3,0.3,0.5,0.4,0.4,0.5,0.0,0.4,0.0,0.5,config_5
doc_11.txt,Legal_Documents,0.9,0.8,0.9,0.9,0.2,0.8,0.1,1.0,1.0,1.0,1.0,1.0,config_8
doc_12.txt,Legal_Documents,0.8181818181818182,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.8181818181818182,0.6363636363636364,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.2727272727272727,0.2727272727272727,0.5454545454545454,config_1
doc_13.txt,Legal_Documents,0.7,0.6,0.6,1.0,0.8,0.7,0.7,0.8,0.4,0.6,0.6,0.8,config_4
doc_14.txt,Legal_Documents,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.4,config_7
doc_15.txt,Legal_Documents,1.0,0.8,0.8,1.0,0.1,0.6,0.0,0.8,1.0,1.0,1.0,1.0,config_1
doc_16.txt,Legal_Documents,0.7,0.7,0.7,0.7,0.5,0.7,0.6,0.8,0.9,0.9,0.9,0.9,config_9
doc_17.txt,Legal_Documents,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.1,0.5,0.1,0.6,config_12
doc_18.txt,Legal_Documents,0.5,0.7,0.7,0.8,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,config_6
doc_19.txt,Legal_Documents,0.4,0.2,0.3,0.5,0.1,0.4,0.1,0.6,0.6,0.6,0.6,0.6,config_8
