feature,f_score,p_value
sbert_202,1.6000079635437197,0.12075679978372704
sbert_57,1.599270892435731,0.12097374336246144
sbert_171,1.5991989787370433,0.12099492831427625
sbert_117,1.586424134070349,0.12481069103629633
sbert_277,1.5796600020942255,0.1268737732422773
sbert_119,1.575032002615953,0.12830257537391238
sbert_49,1.5722773790398037,0.12915971292753126
sbert_141,1.56551141725148,0.131286421080472
sbert_18,1.5509917711538712,0.13595422220369333
sbert_180,1.5388650786492766,0.13996326496076594
sbert_55,1.5194381827867671,0.14660032960585184
sbert_317,1.5171659548074978,0.14739417160333762
sbert_221,1.5160552718379667,0.1477835601816882
sbert_173,1.5141395680051515,0.14845726886000188
sbert_254,1.5119356067332352,0.14923563546976026
sbert_326,1.5107169599644,0.1496675340692478
sbert_249,1.5016151451495587,0.152927563138685
sbert_93,1.4999365000967277,0.15353544883646264
sbert_309,1.489862603901489,0.15722735851792144
sbert_73,1.4890208474524331,0.15753927162841996
sbert_22,1.4851629328350149,0.15897562496375073
sbert_239,1.4815016842098696,0.16034912391492967
sbert_276,1.4803257375325776,0.160792424865413
sbert_260,1.4774631960187847,0.16187591323122774
sbert_381,1.47065711319935,0.16447713932083466
sbert_224,1.4639255362744565,0.16708487998097635
sbert_332,1.4564037093193607,0.1700402982013719
sbert_256,1.43253327972474,0.17971437672099616
sbert_225,1.4239588931439142,0.18330072637114772
sbert_265,1.4224757834791428,0.18392710933415357
sbert_316,1.421827802148253,0.18420134328290086
sbert_25,1.4201406823721263,0.1849169615733073
sbert_149,1.4084699106565035,0.18993126563373172
sbert_289,1.4052173273533883,0.19134876707674878
sbert_100,1.4027189550491055,0.19244354835938293
sbert_139,1.398539488440865,0.19428662234419827
sbert_206,1.3800741744826928,0.20260549740338432
sbert_372,1.3719490684221236,0.20635787841705588
sbert_240,1.362381526784166,0.21084930484479306
sbert_2,1.3615629182391,0.2112372790389214
sbert_357,1.357498497211848,0.21317222216668613
sbert_82,1.3574407510997584,0.2131998170301538
sbert_109,1.350415820601289,0.21657854923333228
sbert_213,1.3474439856250005,0.2180209257415232
sbert_20,1.3472179489065474,0.21813095048249484
sbert_311,1.3395469960318735,0.22189157660958964
sbert_328,1.3366835360936664,0.2233087246226956
sbert_319,1.3357088937638113,0.22379274456644238
sbert_158,1.3335653988412355,0.22486020642296012
sbert_124,1.331615611847254,0.2258347586505551
sbert_346,1.3308567123823778,0.22621499294645092
sbert_38,1.3231593513708846,0.23010076248700342
sbert_308,1.3224955072694313,0.23043837342004536
header_density,1.315624879943354,0.23395588316903956
sbert_198,1.3143322035683065,0.23462245014062694
sbert_262,1.3057074413077634,0.2391085754404588
sbert_181,1.3046775184939658,0.23964880432336197
sbert_86,1.2944654549624803,0.24505780034337166
sbert_337,1.2876948295761899,0.24869670133037594
sbert_162,1.2856257955063124,0.24981713302929603
sbert_183,1.2781308401498117,0.25390894514916545
sbert_306,1.274799026417741,0.25574462903353984
sbert_234,1.274787630823695,0.2557509251890747
sbert_178,1.2725013276767203,0.2570165662210478
avg_sent_length,1.2715422877044147,0.2575489139070607
sbert_152,1.2594175842824902,0.26435308473913743
sbert_201,1.2580775563277082,0.26511351558696844
sbert_219,1.2554711334032458,0.26659741116674907
sbert_185,1.24669063962701,0.27164327297406554
sbert_98,1.24173903690497,0.27452078528619817
sbert_358,1.2311722311217725,0.28073883300278996
sbert_336,1.2283363861323402,0.28242556407354874
sbert_259,1.22772077184787,0.28279273141552175
sbert_14,1.2266234136587797,0.2834481132708163
sbert_290,1.222967548400951,0.2856397661669849
sbert_246,1.2191220586737457,0.28795878347745296
sbert_88,1.214896159223545,0.2905234055882125
sbert_330,1.2135029381081517,0.2913726470877237
sbert_60,1.2118886144932883,0.2923589708777235
sbert_33,1.2099163446262622,0.2935673583976727
sbert_5,1.2085077996711193,0.29443262387947844
sbert_375,1.2057450306354165,0.2961352711418931
sbert_154,1.2036488381020385,0.29743196843845876
sbert_28,1.2022316906711927,0.2983109822715436
sbert_58,1.1918534175963968,0.304806650863729
sbert_87,1.1915995777535,0.3049668136197703
sbert_378,1.1838944910122082,0.30985766112377106
sbert_95,1.181800179119189,0.31119682619275174
sbert_147,1.1763711464451347,0.31468779158622084
sbert_132,1.1762089145768122,0.3147925421923253
sbert_150,1.1746594021566308,0.31579430319836893
sbert_350,1.1683967967460438,0.31986640826263496
sbert_360,1.1670529647278094,0.3207450740716408
sbert_56,1.165209827910297,0.32195300959039563
sbert_321,1.1551612970881706,0.3285954071489065
sbert_339,1.1528384410069954,0.3301445602010944
sbert_279,1.1450507525139364,0.3353757071956615
sbert_210,1.1444808514683797,0.3357607815586883
sbert_347,1.1441791986988727,0.3359647288822082
sbert_156,1.1414360564499269,0.3378233251964685
sbert_145,1.1335677826823602,0.34319394302779227
sbert_35,1.12787398641904,0.3471168161452052
sbert_238,1.1248556056270054,0.34920879371606744
sbert_204,1.1211965243550859,0.35175632113519234
sbert_44,1.1210516049469585,0.3518574760251996
sbert_118,1.1132696841835872,0.3573182426105955
sbert_369,1.1042511490825664,0.36371758283213895
sbert_114,1.1038950983232487,0.363971782392323
sbert_53,1.0973580528307925,0.3686597596208437
sbert_71,1.0955564862868012,0.36995869020864847
sbert_268,1.082987749785405,0.3791039147134546
sbert_194,1.0781739837873892,0.38264480342043844
sbert_380,1.0745811923900463,0.3853013114687666
sbert_137,1.0729670220075973,0.38649863853656796
sbert_30,1.072629550237108,0.38674925962041706
sbert_47,1.0702900644503783,0.38848949206273253
sbert_379,1.0687641954306808,0.38962717427450205
sbert_111,1.0623526318561582,0.39443048235646694
sbert_288,1.0573963939712776,0.39816870732655246
sbert_17,1.0541984068647552,0.40059236969471435
sbert_99,1.052011995506777,0.40225459813376463
